id;created_at;created_dmy;red;text;type;page_id;audiencia_interaccion;audiencia;comments;likes;reactions;shares;interaccion;ranking;views;user_id;username;name;user_desc;followers;friends;is_reply;is_rt;reply_to_id;location;pais;ciudad;sector;gen;lang;link;linkpage;keywords
18060048850582648;2024-05-31 12:00:30.0;31-05-2024;Instagram;"O presidente Luiz Inácio Lula da Silva (PT) encaminhou ao apóstolo Estevam Hernandez, criador da Marcha para Jesus, realizada nesta quinta-feira (30), em São Paulo, uma carta em que disse ser uma honra ver a dimensão e a capacidade do evento de reunir milhares de fiéis de diferentes igrejas cristãs do Brasil e do mundo.

""Como cristão, sinto-me regozijado de ver a dimensão extraordinária que este evento tomou e o papel significativo que ele desempenha na vida de muitos brasileiros, promovendo valores de paz, fé, amor ao próximo e solidariedade"", disse Lula. 

Por estar acompanhando os desdobramentos das ações do governo federal no Rio Grande do Sul, o presidente foi representado na marcha pelo ministro da Advocacia-Geral da União (AGU), Jorge Messias.

📸 Reuters/Carla Carniel
📲 Mais informações no site band.com.br

#BandJornalismo";Post;1920057722;66279;65550;24;49;0;0;73;10;;1920057722;bandjornalismo;bandjornalismo;;654775;;;;;BRA;;;;;pt;https://www.instagram.com/p/C7oYHyRthhH;https://www.instagram.com/bandjornalismo;Luiz inácio lula da silva
1796511503354597612;2024-05-31 11:58:14.0;31-05-2024;Twitter;A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso;Tweet;1571872325829623808;0;0;0;0;0;0;0;4;0;1571872325829623808;CarlosR67955116;Carlos Roberto Moraes;;734;639;false;true;;;;;;M;pt;https://twitter.com/CarlosR67955116/status/1796511503354597612;https://twitter.com/CarlosR67955116;@lulaoficial
1796511463361921244;2024-05-31 11:58:05.0;31-05-2024;Twitter;A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso;Tweet;17793152;0;0;0;0;0;0;0;5;0;17793152;merlim;Henrique Cal;"publicitário, budista, filho de oxalá, flamenguista, carioca, salgueirense
fotografia é minha paixão
Instagram @merlim54";1540;2820;false;true;;rio de janeiro;;;;M;pt;https://twitter.com/merlim/status/1796511463361921244;https://twitter.com/merlim;@lulaoficial
431172966501951;2024-05-31 11:54:16.0;31-05-2024;Facebook;Analfabeto,esperto,sem capacidade,metido a ditador,Lula da Silva, o ex presidiário,procura estar em evidência ,não por capacidade intelectual e de chefe de estado ,mas por amizade com os pífios,ditadores latinos ,como Ortega,Maduro,e sucessores de Fidel ,assim como busca,notoriedade unindo-se a Rússia e China.;Comment;115230991849922;0;0;0;0;0;0;0;0;;115230991849922;;O Globo;;0;;;;853499093480248;BRA Maricá Rua Marquês de Pombal;BRA;Maricá;;;pt;https://www.facebook.com/853499093480248;https://www.facebook.com/431172966501951;Lula da silva
1796507909020668062;2024-05-31 11:43:57.0;31-05-2024;Twitter;A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso;Tweet;747294281442856960;0;0;0;0;0;0;0;6;0;747294281442856960;Carlos_JuniorPT;Carlos Júnior 🇧🇷🚩🇻🇳;;4759;4953;false;true;;Autazes, Brasil;;;;M;pt;https://twitter.com/Carlos_JuniorPT/status/1796507909020668062;https://twitter.com/Carlos_JuniorPT;@lulaoficial
1796507631500276043;2024-05-31 11:42:51.0;31-05-2024;Twitter;"@roberta_bastoss Responda uma coisinha para a galera 

Você postou alguma coisa em relação a agressão física, violência  misogina que o filho do @LulaOficial praticou contra sua companheira?

Ou fingiu demência como todas as outras do grupo que ninguém solta a mão de ninguém?

És Fofoqueira?";Tweet;1558919221144428549;0;0;0;0;0;0;0;1;0;1558919221144428549;JoaohenriqueSln;joao henrique Silva Neto;Desmascarador de hipócritas;20;158;true;false;1796185835450069276;;;;;U;pt;https://twitter.com/JoaohenriqueSln/status/1796507631500276043;https://twitter.com/JoaohenriqueSln;@lulaoficial
1796507357205479708;2024-05-31 11:41:46.0;31-05-2024;Twitter;A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso;Tweet;1521962816919400448;0;0;0;0;0;0;0;3;0;1521962816919400448;Prp38412328;Pedr;;453;787;false;true;;;;;;M;pt;https://twitter.com/Prp38412328/status/1796507357205479708;https://twitter.com/Prp38412328;@lulaoficial
1796507014778220981;2024-05-31 11:40:24.0;31-05-2024;Twitter;"@LulaOficial Fala meu presidente que não pode ir às ruas, estão vc esta se titulando como cristão?
O di@bo iludi, engana, menti, quer controle de tudo e de todos, mata, destruir a família, assim como nazistas, comunistas, terroristas, ditadores e petistas, tá se espelhando nele né ladrão.";Tweet;1599855427759521792;0;0;0;0;0;0;0;1;0;1599855427759521792;FrancoCavalcan4;Franco Cavalcante;;3;30;true;false;1796236750567690373;;;;;M;pt;https://twitter.com/FrancoCavalcan4/status/1796507014778220981;https://twitter.com/FrancoCavalcan4;@lulaoficial
1796505256525971902;2024-05-31 11:33:25.0;31-05-2024;Twitter;@brasil247 Grandes ou pífios bajuladores do ex-presidiário @LulaOficial? Não interessa a opinião de 6 dúzia de burgueses da EXTREMA ESQUERDA, servidores desse desgoverno, em relação a uma legítima ação de Israel, estado democrático, contra um grupo de TERRORISTAS ASSASSINOS como o HAMAS.;Tweet;1027299972100833280;1;1;0;0;0;0;0;5;0;1027299972100833280;RJorgeFS68;Jorge Ferreira;Ser feliz agora para amanhã ser mais feliz ainda!;2133;5007;true;false;1796090386944839720;Pantanal, Brasil;;;;M;pt;https://twitter.com/RJorgeFS68/status/1796505256525971902;https://twitter.com/RJorgeFS68;@lulaoficial
1796502933296824651;2024-05-31 11:24:11.0;31-05-2024;Twitter;@gleisi @LulaOficial André Mendonça salvando o país de uma revolta penitenciária é distopia pura.;Tweet;1780438251045593088;0;0;0;0;0;0;0;1;0;1780438251045593088;outbotton;🇵🇾Evandro;"A solidão é perigosa e viciante. Quando você se dá conta da paz que existe nela, não quer mais lidar com as pessoas.

Carl Gustav Jung.";26;231;false;true;;Río de Janeiro, Brasil;;;;U;pt;https://twitter.com/outbotton/status/1796502933296824651;https://twitter.com/outbotton;@lulaoficial
